station_id,station_name,lat,lon,bikes_available,empty_docks,total_docks,pulled_at
BikePoints_1,"River Street , Clerkenwell",51.529163,-0.10997,9,8,19,2026-08-07T19:51:57.740344
BikePoints_2,"Phillimore Gardens, Kensington",51.499606,-0.197574,25,10,37,2026-08-07T19:51:57.740371
BikePoints_3,"Christopher Street, Liverpool Street",51.521283,-0.084605,4,28,32,2026-08-07T19:51:57.740376
BikePoints_4,"St. Chad's Street, King's Cross",51.530059,-0.120973,18,4,23,2026-08-07T19:51:57.740380
BikePoints_5,"Sedding Street, Sloane Square",51.49313,-0.156876,5,20,27,2026-08-07T19:51:57.740383
BikePoints_6,"Broadcasting House, Marylebone",51.518117,-0.144228,1,16,18,2026-08-07T19:51:57.740386
BikePoints_7,"Charlbert Street, St. John's Wood",51.5343,-0.168074,6,10,16,2026-08-07T19:51:57.740390
BikePoints_8,"Maida Vale, Maida Vale",51.529857,-0.183486,10,27,39,2026-08-07T19:51:57.740396
BikePoints_9,"New Globe Walk, Bankside",51.507385,-0.09644,0,17,19,2026-08-07T19:51:57.740401
BikePoints_10,"Park Street, Bankside",51.505974,-0.092754,1,16,18,2026-08-07T19:51:57.740407
BikePoints_11,"Brunswick Square, Bloomsbury",51.523951,-0.122502,7,17,24,2026-08-07T19:51:57.740410
BikePoints_12,"Malet Street, Bloomsbury",51.52168,-0.130431,13,33,49,2026-08-07T19:51:57.740414
BikePoints_13,"Scala Street, Fitzrovia",51.519914,-0.136039,1,18,21,2026-08-07T19:51:57.740417
BikePoints_14,"Argyle Street, Kings Cross",51.529416,-0.123944,25,12,45,2026-08-07T19:51:57.740420
BikePoints_15,"Great Russell Street, Bloomsbury",51.517727,-0.127854,1,23,26,2026-08-07T19:51:57.740422
BikePoints_16,"Cartwright Gardens , Bloomsbury",51.526357,-0.125979,14,5,21,2026-08-07T19:51:57.740426
BikePoints_17,"Hatton Wall, Holborn",51.521661,-0.109006,3,22,26,2026-08-07T19:51:57.740431
BikePoints_18,"Drury Lane, Covent Garden",51.51477,-0.122219,8,14,27,2026-08-07T19:51:57.740434
BikePoints_19,"Taviton Street, Bloomsbury",51.52505,-0.131161,20,8,30,2026-08-07T19:51:57.740437
BikePoints_20,"Drummond Street , Euston",51.527326,-0.136052,8,19,28,2026-08-07T19:51:57.740440
BikePoints_21,"Lansdowne Drive, Hackney Central",51.539834,-0.062806,6,18,26,2026-08-07T19:51:57.740443
BikePoints_22,"Northington Street , Holborn",51.522264,-0.114079,4,13,19,2026-08-07T19:51:57.740445
BikePoints_23,"Red Lion Square, Holborn",51.519435,-0.119123,0,16,16,2026-08-07T19:51:57.740448
BikePoints_24,"British Museum, Bloomsbury",51.51908,-0.124678,2,30,35,2026-08-07T19:51:57.740451
BikePoints_25,"Doric Way , Somers Town",51.528833,-0.13225,44,5,50,2026-08-07T19:51:57.740454
BikePoints_26,"Ampton Street , Clerkenwell",51.52728,-0.118295,17,0,21,2026-08-07T19:51:57.740458
BikePoints_28,"Bolsover Street, Fitzrovia",51.523518,-0.143613,4,14,19,2026-08-07T19:51:57.740460
BikePoints_29,"Hereford Road, Bayswater",51.513735,-0.193487,8,12,22,2026-08-07T19:51:57.740463
BikePoints_30,"Windsor Terrace, Hoxton",51.529154,-0.093421,7,17,24,2026-08-07T19:51:57.740468
BikePoints_31,"Fanshaw Street, Hoxton",51.529537,-0.083353,28,5,36,2026-08-07T19:51:57.740471
BikePoints_33,"Central House, Aldgate",51.515231,-0.07015,0,23,24,2026-08-07T19:51:57.740476
BikePoints_34,"Pancras Road, King's Cross",51.534123,-0.129386,13,2,16,2026-08-07T19:51:57.740479
BikePoints_36,"De Vere Gardens, Kensington",51.501737,-0.18498,0,26,28,2026-08-07T19:51:57.740482
BikePoints_37,"Penywern Road, Earl's Court",51.491593,-0.192369,2,15,17,2026-08-07T19:51:57.740485
BikePoints_38,"Abingdon Villas, Kensington",51.497387,-0.197245,12,3,17,2026-08-07T19:51:57.740488
BikePoints_39,"Shoreditch High Street, Shoreditch",51.526377,-0.07813,11,27,41,2026-08-07T19:51:57.740491
BikePoints_40,"Commercial Street, Shoreditch",51.52127,-0.075578,6,10,16,2026-08-07T19:51:57.740494
BikePoints_41,"Pindar Street, Liverpool Street",51.520955,-0.083493,6,16,24,2026-08-07T19:51:57.740497
BikePoints_42,"Wenlock Road , Hoxton",51.530991,-0.093903,22,4,28,2026-08-07T19:51:57.740500
BikePoints_43,"Crawford Street, Marylebone",51.52026,-0.157183,5,12,18,2026-08-07T19:51:57.740502
BikePoints_44,"Bruton Street, Mayfair",51.510736,-0.144165,0,21,21,2026-08-07T19:51:57.740505
BikePoints_45,"Boston Place, Marylebone",51.522511,-0.162298,15,9,26,2026-08-07T19:51:57.740508
BikePoints_46,"Nesham Street, Wapping",51.507131,-0.06691,10,5,16,2026-08-07T19:51:57.740511
BikePoints_47,"Warwick Avenue Station, Maida Vale",51.523344,-0.183846,9,9,19,2026-08-07T19:51:57.740514
BikePoints_48,"Godliman Street, St. Paul's",51.512484,-0.099141,1,24,25,2026-08-07T19:51:57.740517
BikePoints_49,"Curzon Street, Mayfair",51.507069,-0.145904,0,16,16,2026-08-07T19:51:57.740520
BikePoints_50,"East Road, Hoxton",51.528673,-0.087459,9,17,27,2026-08-07T19:51:57.740523
BikePoints_51,"Finsbury Library , Finsbury",51.526717,-0.104298,19,10,29,2026-08-07T19:51:57.740526
BikePoints_52,"Roscoe Street, St. Luke's",51.522954,-0.094934,1,17,18,2026-08-07T19:51:57.740531
BikePoints_53,"Grafton Street, Mayfair",51.509992,-0.143495,0,16,18,2026-08-07T19:51:57.740534
BikePoints_54,"Golden Lane, Barbican",51.521747,-0.094475,2,25,27,2026-08-07T19:51:57.740537
BikePoints_55,"Finsbury Circus, Liverpool Street",51.517075,-0.086685,9,23,33,2026-08-07T19:51:57.740540
BikePoints_56,"Paddington Street, Marylebone",51.520583,-0.154701,11,4,16,2026-08-07T19:51:57.740543
BikePoints_57,"Guilford Street , Bloomsbury",51.523346,-0.120202,4,27,32,2026-08-07T19:51:57.740546
BikePoints_58,"New Inn Yard, Shoreditch",51.524526,-0.079248,6,14,20,2026-08-07T19:51:57.740549
BikePoints_60,"Lisson Grove, St. John's Wood",51.526448,-0.17219,9,6,18,2026-08-07T19:51:57.740552
BikePoints_61,"Great Dover Street, The Borough",51.497382,-0.089446,15,17,33,2026-08-07T19:51:57.740555
BikePoints_62,"Cotton Garden Estate, Kennington",51.490757,-0.106323,3,21,24,2026-08-07T19:51:57.740558
BikePoints_63,"Murray Grove , Hoxton",51.53089,-0.089782,15,11,27,2026-08-07T19:51:57.740561
BikePoints_64,"William IV Street, Strand",51.509462,-0.124749,23,3,26,2026-08-07T19:51:57.740564
BikePoints_65,"Gower Place , Euston",51.525227,-0.135188,11,2,17,2026-08-07T19:51:57.740567
BikePoints_66,"Holborn Circus, Holborn",51.51795,-0.108657,1,36,40,2026-08-07T19:51:57.740569
BikePoints_67,"Hatton Garden, Holborn",51.518825,-0.108028,0,27,28,2026-08-07T19:51:57.740572
BikePoints_68,"Theobald's Road , Holborn",51.520596,-0.116688,0,23,26,2026-08-07T19:51:57.740576
BikePoints_69,"Euston Road, Euston",51.526236,-0.134407,11,8,24,2026-08-07T19:51:57.740579
BikePoints_70,"Calshot Street , King's Cross",51.53136,-0.117069,6,17,24,2026-08-07T19:51:57.740582
BikePoints_71,"Newgate Street , St. Paul's",51.515768,-0.099894,1,28,35,2026-08-07T19:51:57.740585
BikePoints_72,"Farringdon Lane, Clerkenwell",51.52352,-0.10834,4,11,16,2026-08-07T19:51:57.740590
BikePoints_73,"Old Street Station, St. Luke's",51.525615,-0.088532,13,19,34,2026-08-07T19:51:57.740593
BikePoints_74,"Vauxhall Cross, Vauxhall",51.485917,-0.124469,12,1,17,2026-08-07T19:51:57.740596
BikePoints_75,"Torrens Street, Angel",51.532199,-0.10548,11,6,19,2026-08-07T19:51:57.740599
BikePoints_76,"Longford Street, The Regent's Park",51.525595,-0.144083,1,19,21,2026-08-07T19:51:57.740602
BikePoints_77,"Russell Square Station, Bloomsbury",51.523418,-0.124121,2,22,26,2026-08-07T19:51:57.740605
BikePoints_78,"Sadlers Sports Centre, Finsbury",51.524868,-0.099489,11,5,17,2026-08-07T19:51:57.740608
BikePoints_79,"Arundel Street, Temple",51.511726,-0.113855,0,18,18,2026-08-07T19:51:57.740611
BikePoints_80,"Webber Street , Southwark",51.500693,-0.102091,5,38,45,2026-08-07T19:51:57.740614
BikePoints_81,"Great Titchfield Street, Fitzrovia",51.520253,-0.141327,1,17,19,2026-08-07T19:51:57.740617
BikePoints_83,"Panton Street, West End",51.509639,-0.13151,10,6,21,2026-08-07T19:51:57.740621
BikePoints_84,"Breams Buildings, Holborn",51.515937,-0.111778,0,24,25,2026-08-07T19:51:57.740624
BikePoints_85,"Tanner Street, Bermondsey",51.500647,-0.0786,4,36,41,2026-08-07T19:51:57.740627
BikePoints_86,"Sancroft Street, Vauxhall",51.489479,-0.115156,14,8,24,2026-08-07T19:51:57.740632
BikePoints_87,"Devonshire Square, Liverpool Street",51.516468,-0.079684,0,15,16,2026-08-07T19:51:57.740635
BikePoints_88,"Percy Street, Bloomsbury",51.51863,-0.132676,5,24,29,2026-08-07T19:51:57.740640
BikePoints_89,"Tavistock Place, Bloomsbury",51.52625,-0.123509,9,9,19,2026-08-07T19:51:57.740643
BikePoints_90,"Harrington Square 1, Camden Town",51.533019,-0.139174,3,23,27,2026-08-07T19:51:57.740646
BikePoints_91,"Walnut Tree Walk, Vauxhall",51.493686,-0.111014,7,12,20,2026-08-07T19:51:57.740649
BikePoints_92,"Borough Road, Elephant & Castle",51.498898,-0.10044,2,37,41,2026-08-07T19:51:57.740653
BikePoints_93,"Cloudesley Road, Angel",51.534408,-0.109025,5,30,37,2026-08-07T19:51:57.740658
BikePoints_94,"Bricklayers Arms, Borough",51.495061,-0.085814,14,13,28,2026-08-07T19:51:57.740661
BikePoints_95,"Aldersgate Street, Barbican",51.520841,-0.09734,0,13,15,2026-08-07T19:51:57.740664
BikePoints_96,"Falkirk Street, Hoxton",51.53095,-0.078505,21,3,26,2026-08-07T19:51:57.740667
BikePoints_97,"Gloucester Road (North), Kensington",51.497924,-0.183834,2,16,18,2026-08-07T19:51:57.740670
BikePoints_98,"Hampstead Road, Euston",51.525542,-0.138231,2,51,54,2026-08-07T19:51:57.740673
BikePoints_101,"Queen Street 1, Bank",51.511553,-0.09294,2,16,22,2026-08-07T19:51:57.740676
BikePoints_102,"Jewry Street, Aldgate",51.513406,-0.076793,0,14,17,2026-08-07T19:51:57.740679
BikePoints_103,"Vicarage Gate, Kensington",51.504723,-0.192538,0,17,18,2026-08-07T19:51:57.740682
BikePoints_104,"Crosswall, Tower",51.511594,-0.077121,0,31,34,2026-08-07T19:51:57.740685
BikePoints_105,"Westbourne Grove, Bayswater",51.515529,-0.19024,10,16,26,2026-08-07T19:51:57.740688
BikePoints_106,"Woodstock Street, Mayfair",51.514105,-0.147301,1,16,21,2026-08-07T19:51:57.740691
BikePoints_107,"Finsbury Leisure Centre, St. Luke's",51.526008,-0.096317,6,13,20,2026-08-07T19:51:57.740693
BikePoints_109,"Soho Square , Soho",51.515631,-0.132328,28,25,57,2026-08-07T19:51:57.740696
BikePoints_110,"Wellington Road, St. John's Wood",51.533043,-0.172528,2,13,17,2026-08-07T19:51:57.740699
BikePoints_111,"Park Lane , Hyde Park",51.510017,-0.157275,14,13,28,2026-08-07T19:51:57.740702
BikePoints_112,"Stonecutter Street, Holborn",51.515809,-0.10527,0,19,21,2026-08-07T19:51:57.740705
BikePoints_113,"Gloucester Road (Central), South Kensington",51.496462,-0.183289,4,14,19,2026-08-07T19:51:57.740708
BikePoints_114,"Park Road (Baker Street), The Regent's Park",51.524517,-0.158963,2,17,22,2026-08-07T19:51:57.740711
BikePoints_115,"Braham Street, Aldgate",51.514233,-0.073537,1,30,34,2026-08-07T19:51:57.740716
BikePoints_116,"Little Argyll Street, West End",51.514499,-0.141423,8,8,21,2026-08-07T19:51:57.740719
BikePoints_117,"Lollard Street, Vauxhall",51.49288,-0.114934,15,8,25,2026-08-07T19:51:57.740722
BikePoints_118,"Rochester Row, Westminster",51.495827,-0.135478,4,8,13,2026-08-07T19:51:57.740726
BikePoints_119,"Bath Street, St. Luke's",51.525893,-0.090847,4,13,18,2026-08-07T19:51:57.740729
BikePoints_120,"The Guildhall, Guildhall",51.515735,-0.09308,2,13,17,2026-08-07T19:51:57.740732
BikePoints_121,"Baker Street, Marylebone",51.518913,-0.156166,1,20,22,2026-08-07T19:51:57.740735
BikePoints_123,"St. John Street, Finsbury",51.52836,-0.104724,10,7,18,2026-08-07T19:51:57.740738
BikePoints_124,"Eaton Square, Belgravia",51.496544,-0.150905,1,17,18,2026-08-07T19:51:57.740741
BikePoints_125,"Borough High Street, The Borough",51.500694,-0.094524,7,14,21,2026-08-07T19:51:57.740744
BikePoints_126,"Museum of London, Barbican",51.517821,-0.096496,1,47,52,2026-08-07T19:51:57.740747
BikePoints_127,"Wood Street, Guildhall",51.517008,-0.093885,2,11,17,2026-08-07T19:51:57.740750
BikePoints_128,"Emperor's Gate, South Kensington",51.495362,-0.185296,7,14,22,2026-08-07T19:51:57.740753
BikePoints_129,"Golden Square, Soho",51.511897,-0.137043,9,6,18,2026-08-07T19:51:57.740756
BikePoints_130,"Tower Gardens , Tower",51.509506,-0.075459,7,14,24,2026-08-07T19:51:57.740759
BikePoints_131,"Eversholt Street , Camden Town",51.533005,-0.136792,3,10,16,2026-08-07T19:51:57.740761
BikePoints_132,"Bethnal Green Road, Shoreditch",51.523648,-0.074754,9,25,38,2026-08-07T19:51:57.740764
BikePoints_133,"Derry Street, Kensington",51.501364,-0.191462,6,10,18,2026-08-07T19:51:57.740767
BikePoints_134,"Wapping High Street, Wapping",51.504904,-0.06797,12,7,20,2026-08-07T19:51:57.740770
BikePoints_135,"Clerkenwell Green, Clerkenwell",51.52326,-0.104708,5,14,21,2026-08-07T19:51:57.740773
BikePoints_136,"Queen Victoria Street, St. Paul's",51.511961,-0.097441,2,29,32,2026-08-07T19:51:57.740778
BikePoints_138,"Green Street, Mayfair",51.512276,-0.157436,3,16,19,2026-08-07T19:51:57.740782
BikePoints_139,"Lambeth Road, Vauxhall",51.494881,-0.117974,4,14,18,2026-08-07T19:51:57.740785
